id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1555070685562667010,1555070685562667010,2022-08-04 10:28:37 +0430,2022-08-04,10:28:37,+0430,419520517,douglaskmurray,Douglas Murray,,‘Biden’s victories look a lot like defeats.’ My column in the ⁦@spectator⁩ this week  https://t.co/xsFiWAb35w,en,"[{'screen_name': 'spectator', 'name': 'the spectator', 'id': '16683666'}]",['https://www.spectator.co.uk/article/biden-s-victories-look-a-lot-like-defeats'],[],24,79,475,[],[],https://twitter.com/DouglasKMurray/status/1555070685562667010,False,,0,,New York,,,,,,[],,,,
1555064667533414401,1555064667533414401,2022-08-04 10:04:43 +0430,2022-08-04,10:04:43,+0430,243772835,semprinif,Francesco Semprini,,"“La Nato è timida. Putin non si fermerà al Donbass”. Il generale israeliano Abraham Bachar a @LaStampa “Biden ha sbagliato, la #Russia sa che l’Alleanza non invierà mai soldati e avanza, la #Cina  potrebbe presto imitarlo”.             #Ucraina #Guerra    https://t.co/ASu9SJbEWL  https://t.co/2RPiIpWPK4",it,"[{'screen_name': 'lastampa', 'name': 'la stampa', 'id': '29416653'}]",['https://www.lastampa.it/esteri/2022/07/31/news/abraham_bacharla_nato_e_stata_troppo_timidaputin_non_si_fermera_al_donbass-5483446/'],['https://pbs.twimg.com/media/FZSzEe8WQAAsFAS.jpg'],4,11,21,"['russia', 'cina', 'ucraina', 'guerra']",[],https://twitter.com/semprinif/status/1555064667533414401,False,,1,https://pbs.twimg.com/media/FZSzEe8WQAAsFAS.jpg,New York,,,,,,[],,,,
1555058689224105984,1555058689224105984,2022-08-04 09:40:57 +0430,2022-08-04,09:40:57,+0430,32201297,mirandadevine,Miranda Devine,,Remember it took 4 days after the @nypost broke the story of Hunter Biden’s laptop for the NYT to mention it - only to call it “a farcical retread” of Russia collusion “creating an illusion of scandal where none exists”. Hah! Propaganda-still no retraction  https://t.co/FLZZe2rMwC,en,"[{'screen_name': 'nypost', 'name': 'new york post', 'id': '17469289'}]",['https://www.nytimes.com/2020/10/19/opinion/trump-campaign-rudy-giuliani.html'],[],10,62,236,[],[],https://twitter.com/mirandadevine/status/1555058689224105984,False,,0,,New York,,,,,,[],,,,
1555048477528391680,1555048477528391680,2022-08-04 09:00:23 +0430,2022-08-04,09:00:23,+0430,335455570,reutersworld,Reuters World,,"Biden signs abortion order, says Republicans clueless about women's power  https://t.co/8OhZPTbu4M  https://t.co/igdJvkk13l",en,[],['http://reut.rs/3zyPhDl'],['https://pbs.twimg.com/media/FZSkWVFXgAEFhmN.jpg'],3,15,41,[],[],https://twitter.com/ReutersWorld/status/1555048477528391680,False,,1,https://pbs.twimg.com/media/FZSkWVFXgAEFhmN.jpg,New York,,,,,,[],,,,
1555036327372103680,1555036327372103680,2022-08-04 08:12:06 +0430,2022-08-04,08:12:06,+0430,14173315,nbcnews,NBC News,,"Biden officials acknowledge they are now playing catch-up as monkeypox case numbers grow faster than initially expected, people close to the administration say, noting the number of infections has jumped from dozens to thousands in a short amount of time.  https://t.co/KIxgYEQZCY",en,[],['https://nbcnews.to/3Jvem6X'],[],26,24,66,[],[],https://twitter.com/NBCNews/status/1555036327372103680,False,,0,,New York,,,,,,[],,,,
1555034715408764928,1555034715408764928,2022-08-04 08:05:41 +0430,2022-08-04,08:05:41,+0430,14888467,davidgura,David Gura,,"Per the White House, National Security Advisor Jake Sullivan spoke with @AlinejadMasih and her husband today.   Sullivan ""expressed his profound concern over Alinejad's physical safety,"" and ""noted that President Biden will continue to receive updates on her situation.""",en,"[{'screen_name': 'alinejadmasih', 'name': 'masih alinejad 🏳️', 'id': '947924373029171200'}]",[],[],2,24,167,[],[],https://twitter.com/davidgura/status/1555034715408764928,False,,0,,New York,,,,,,[],,,,
1555033647111086080,1555033647111086080,2022-08-04 08:01:27 +0430,2022-08-04,08:01:27,+0430,28162211,maxboot,Max Boot 🇺🇦🇺🇸,,About to join @DonLemonTonight to discuss my @PostOpinions column arguing that Biden is doing better than the polls would suggest.  https://t.co/Sb6TdlcAFp,en,"[{'screen_name': 'donlemontonight', 'name': 'don lemon tonight', 'id': '2415053456'}, {'screen_name': 'postopinions', 'name': 'washington post opinions', 'id': '14345812'}]",['https://wapo.st/3SkcBh2'],[],12,26,116,[],[],https://twitter.com/MaxBoot/status/1555033647111086080,False,,0,,New York,,,,,,[],,,,
1555033308207222786,1555033308207222786,2022-08-04 08:00:06 +0430,2022-08-04,08:00:06,+0430,56413858,foxbusiness,FOX Business,,"'JUST LIKE' CHINA: GOP senator blasts Biden, IRS over calling for bank data  https://t.co/LPgfZfM9IJ  https://t.co/PmGqmijoZp",en,[],['https://fxn.ws/3OYoEgT'],['https://pbs.twimg.com/media/FZSWjabWIAInT02.jpg'],3,7,19,[],[],https://twitter.com/FoxBusiness/status/1555033308207222786,False,,1,https://pbs.twimg.com/media/FZSWjabWIAInT02.jpg,New York,,,,,,[],,,,
1555028255027208192,1555028255027208192,2022-08-04 07:40:01 +0430,2022-08-04,07:40:01,+0430,29097819,epochtimes,The Epoch Times,,"A Tampa #Christian school filed a lawsuit against the Biden administration, arguing that revised #TitleIX regulations would force the school to make an “untenable choice: violate its religious beliefs or stop providing lunches to children.”  https://t.co/udGM600LrO",en,[],['https://www.theepochtimes.com/florida-christian-school-sues-biden-and-state-ag-commissioner-over-title-ix-lunch-ties_4641105.html?utm_medium=social&utm_source=twitter&utm_campaign=digitalsub'],[],4,40,96,"['christian', 'titleix']",[],https://twitter.com/EpochTimes/status/1555028255027208192,False,,0,,New York,,,,,,[],,,,
1555026628568399875,1555026628568399875,2022-08-04 07:33:33 +0430,2022-08-04,07:33:33,+0430,1237516842303991808,donlew87,Don Lewis,,I think we can all agree that Alex Jones' cell phone is far more interesting than Hunter Biden's laptop.,en,[],[],[],33,351,1929,[],[],https://twitter.com/DonLew87/status/1555026628568399875,False,,0,,New York,,,,,,[],,,,
1555026515452116993,1555026515452116993,2022-08-04 07:33:06 +0430,2022-08-04,07:33:06,+0430,19417492,nro,National Review,,"Biden and the Democrats have enjoyed a good stretch of news lately, but the updated inflation numbers next week will likely end that run. | by @jimgeraghty   https://t.co/2FcioRboJq",en,"[{'screen_name': 'jimgeraghty', 'name': 'jim geraghty', 'id': '15335534'}]",['https://www.nationalreview.com/corner/the-false-dawn-for-democrats-this-summer/?taid=62eb36e79cd7690001916da4&utm_campaign=trueanthem&utm_medium=social&utm_source=twitter'],[],4,5,17,[],[],https://twitter.com/NRO/status/1555026515452116993,False,,0,,New York,,,,,,[],,,,
1555025789766230017,1555025789766230017,2022-08-04 07:30:13 +0430,2022-08-04,07:30:13,+0430,807095,nytimes,The New York Times,,"“The court practically dared women in this country to go to the ballot box to restore the right to choose,” President Biden said by video Wednesday. “They don’t have a clue about the power of American women.”  https://t.co/8UWsCrrVWN",en,[],['https://nyti.ms/3OWZDCT'],[],33,93,510,[],[],https://twitter.com/nytimes/status/1555025789766230017,False,,0,,New York,,,,,,[],,,,
1555018961015771136,1555018961015771136,2022-08-04 07:03:05 +0430,2022-08-04,07:03:05,+0430,19417492,nro,National Review,,Biden signed an executive order Wednesday that will allow Medicaid funds to be used to facilitate travel for women seeking abortions. | by @carolinedowney_   https://t.co/AgBxNqSXDW,en,"[{'screen_name': 'carolinedowney_', 'name': 'caroline downey', 'id': '1384191416738271234'}]",['https://www.nationalreview.com/news/biden-signs-executive-order-directing-medicaid-funding-to-abortion-travel/?taid=62eb2fde9cd7690001916b73&utm_campaign=trueanthem&utm_medium=social&utm_source=twitter'],[],16,7,16,[],[],https://twitter.com/NRO/status/1555018961015771136,False,,0,,New York,,,,,,[],,,,
1555008473729056776,1555008473729056776,2022-08-04 06:21:25 +0430,2022-08-04,06:21:25,+0430,142339174,ritacosby,Rita Cosby,,"Tonight on @77WABCradio: @Rudygiuliani joins us at 10:20pm on #NYC Mayor #EricAdams blasting #crime &amp; repeat offenders, PLUS Democrats so concerned about #Biden running in 2024, some suggest #AOC should enter the race for President!",en,"[{'screen_name': '77wabcradio', 'name': 'talkradio 77 wabc', 'id': '104567779'}, {'screen_name': 'rudygiuliani', 'name': 'rudy w. giuliani', 'id': '770781940341288960'}]",[],[],9,89,104,"['nyc', 'ericadams', 'crime', 'biden', 'aoc']",[],https://twitter.com/RitaCosby/status/1555008473729056776,False,,0,,New York,,,,,,[],,,,
1554999262076977152,1554999262076977152,2022-08-04 05:44:49 +0430,2022-08-04,05:44:49,+0430,481655487,juliacarriew,Julia Carrie Wong,,"The Biden administration’s failures on monkeypox are scandalous. Less than three years after covid hit, it’s outrageous that the CDC, FDA and rest of HHS were so slow to act    https://t.co/93uU8zezOW  https://t.co/jO2FzKRUsn",en,[],"['https://www.nytimes.com/2022/08/03/us/politics/monkeypox-vaccine-doses-us.html?smid=nytcore-ios-share', 'https://www.nytimes.com/2022/08/03/us/politics/monkeypox-vaccine-doses-us.html?referringSource=articleShare']",[],3,20,46,[],[],https://twitter.com/juliacarriew/status/1554999262076977152,False,,0,,New York,,,,,,[],,,,
1554992960596590592,1554985470072963072,2022-08-04 05:19:46 +0430,2022-08-04,05:19:46,+0430,772529887,bigricanman,Angel L Maysonet🇵🇷🇺🇸👮🏻‍♂️💙🖤,,@POTUS How much more will we pay;  At the pump  At the Grocery store  For travel  For vehicles  For lazy people who don’t want to work?  😒  Feel free to add to this list,en,[],[],[],11,19,157,[],[],https://twitter.com/bigricanman/status/1554992960596590592,False,,0,,New York,,,,,,"[{'screen_name': 'POTUS', 'name': 'President Biden', 'id': '1349149096909668363'}]",,,,
1554986743392264192,1554986743392264192,2022-08-04 04:55:04 +0430,2022-08-04,04:55:04,+0430,807095,nytimes,The New York Times,,"Even after President Biden was sworn in, John Eastman, an architect of the Jan. 6 strategy, wanted to hunt for election fraud — and be paid.  https://t.co/a8kQTAopCP",en,[],['https://nyti.ms/3brsMs2'],[],27,68,201,[],[],https://twitter.com/nytimes/status/1554986743392264192,False,,0,,New York,,,,,,[],,,,
1554985484564275200,1554985484564275200,2022-08-04 04:50:04 +0430,2022-08-04,04:50:04,+0430,380285402,dailymail,Daily Mail US,,OPEC tells Biden we won't produce more oil in embarrassing blow  https://t.co/OcycEtbztR,en,[],['https://trib.al/CUxclPq'],[],5,13,24,[],[],https://twitter.com/DailyMail/status/1554985484564275200,False,,0,,New York,,,,,,[],,,,
1554984766033633280,1554983132432330752,2022-08-04 04:47:13 +0430,2022-08-04,04:47:13,+0430,89243448,danaparish,Dana Parish,,Most deaths reported in young people. 😭  Why did we fail to stop this???! @POTUS @WHO @CDCgov @NHSEngland @60Minutes @ABC @CBSNews @NBCNews  https://t.co/QBdxTZ6W8y,en,"[{'screen_name': 'potus', 'name': 'president biden', 'id': '1349149096909668363'}, {'screen_name': 'who', 'name': 'world health organization (who)', 'id': '14499829'}, {'screen_name': 'cdcgov', 'name': 'cdc', 'id': '146569971'}, {'screen_name': 'nhsengland', 'name': 'nhs england', 'id': '551426814'}, {'screen_name': '60minutes', 'name': '60 minutes', 'id': '18812572'}, {'screen_name': 'abc', 'name': 'abc news', 'id': '28785486'}, {'screen_name': 'cbsnews', 'name': 'cbs news', 'id': '15012486'}, {'screen_name': 'nbcnews', 'name': 'nbc news', 'id': '14173315'}]",[],['https://pbs.twimg.com/media/FZRqZsMUUAAgSb8.jpg'],3,27,145,[],[],https://twitter.com/danaparish/status/1554984766033633280,False,,1,https://pbs.twimg.com/media/FZRqZsMUUAAgSb8.jpg,New York,,,,,,[],,,,
1554984243256004609,1554984243256004609,2022-08-04 04:45:08 +0430,2022-08-04,04:45:08,+0430,3108351,wsj,The Wall Street Journal,,A Biden administration proposal to cap the price of Russian oil is facing skepticism from some oil analysts and financiers who question whether the U.S. and its allies can effectively dictate the global sales price for a major supplier of oil  https://t.co/bdyTUkwNWE,en,[],['https://on.wsj.com/3vBMzMc'],[],10,9,35,[],[],https://twitter.com/WSJ/status/1554984243256004609,False,,0,,New York,,,,,,[],,,,
